Supplementary Table 4a. Cushing's effect on gene expressions after controlling for BMI,,,,,,,,,,,,,,,,
,Row.names,baseMean,log2FoldChange.BMIxDisease,lfcSE.BMIxDisease,stat.BMIxDisease,pvalue.BMIxDisease,padj.BMIxDisease,log2FC_Obese_vs_notObese,lfcSE_Obese_vs_notObese,pvalue_Obese_vs_notObese,padj_Obese_vs_notObese,log2FC_Cushing_vs_Con,lfcSE_Cushing_vs_Con,pvalue_Cushing_vs_Con,padj_Cushing_vs_Con,external_gene_id
114,ENSG00000006007,425.1700122,-0.67160365,0.207634265,-3.234551153,0.001218341,0.062105517,0.082572849,0.116915666,0.48002651,0.78065441,0.632371318,0.159703373,7.51E-05,0.003618754,GDE1
115,ENSG00000006015,166.9264847,0.252645861,0.238132296,1.060947485,0.288713767,0.722075311,-0.153443116,0.128636843,0.23293221,NA,-0.478010379,0.186749628,0.010478297,0.089509902,C19orf60
116,ENSG00000006016,45.68260276,0.084916525,0.574271376,0.147868288,NA,NA,0.182921487,0.382412217,NA,NA,0.824586802,0.492351414,NA,NA,CRLF1
117,ENSG00000006025,59.36539622,0.092604237,0.333676688,0.277526839,0.7813756,0.950104053,0.083619537,0.17922369,0.640810987,NA,-0.50384544,0.268243866,0.060338614,0.24825433,OSBPL7
118,ENSG00000006042,103.4624229,0.379427356,0.318632563,1.190799057,0.233732479,0.66564627,-0.037503931,0.17649673,0.831724155,NA,-0.48875146,0.253843801,0.054179038,0.234396727,TMEM98
119,ENSG00000006047,86.66599466,-1.070615241,0.453513952,-2.360710704,0.018239953,0.243231634,-0.075022135,0.272828009,0.783331916,NA,0.540737602,0.363117244,0.136446745,0.385943746,YBX2
120,ENSG00000006059,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRT33A
121,ENSG00000006071,4.483717965,-0.056129576,0.70290651,-0.079853544,0.936353738,NA,0.82412857,0.732887021,0.260802639,NA,0.114351646,0.866190216,0.894971017,0.955836837,ABCC8
122,ENSG00000006074,59.56313538,1.607552055,0.705643164,2.27813736,0.022718395,0.269420331,0.758079238,0.679831794,0.264808325,NA,-1.728832087,0.815019019,0.033903557,0.179951657,CCL18
123,ENSG00000006075,30.83374409,0.643881536,0.700985674,0.918537367,0.358337605,0.765332809,0.487393747,0.61736618,0.429835777,NA,0.160679932,0.74478691,0.829190834,0.927619522,CCL3
124,ENSG00000006114,265.7212124,-0.139929995,0.173306413,-0.807413834,0.419428099,0.799528544,0.089262869,0.095714957,0.351031389,0.691736715,0.171774198,0.134665407,0.202110074,0.470067021,SYNRG
125,ENSG00000006116,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CACNG3
126,ENSG00000006118,35.8110075,0.452436674,0.438975891,1.030664061,0.302698384,0.730853661,-0.352518865,0.252218253,0.162211021,NA,-0.523847737,0.357012345,0.142291781,0.394279364,TMEM132A
